@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
5,EMEP1403BN,5,1,BN,45,51,50,54,62,68,83,90,71,3993,96,5140,47,1964,0.1524,0.19,4.64,4.96,126,5002,50,-99,0.01,5.67,0.566,-99,73.95,77.6,3,-99,3,-99,0,-99,3.6,-99,67,2306,3,-99,14.81,-99,3.1,-99,1.29,-99,92,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
6,EMEP1403BN,6,1,BN,46,55,51,67,63,74,83,91,69,4340,99,5358,56,3157,0.1228,0.19,4.64,4.95,136,4261,70,-99,0.01,5,0.507,-99,69.94,74.9,3,-99,4,-99,0,-99,3.79,-99,82,1849,3,-99,14.56,-99,2.79,-99,1.26,-99,92,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
7,EMEP1403BN,8,1,BN,44,41,49,51,61,57,86,84,108,2630,145,-99,64,1215,0.1697,0.21,4.64,4.94,183,3092,70,-99,0.02,6.14,0.59,-99,74.21,72.3,4,-99,5,-99,0,-99,3.56,-99,96,2069,4,-99,14.52,-99,2.7,-99,1.34,-99,95,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
8,EMEP1403BN,9,1,BN,46,47,52,56,66,65,89,86,102,2080,144,3807,67,1151,0.1522,0.17,4.64,4.63,188,3027,90,-99,0.02,4.59,0.544,0.69,71.18,71.8,4,-99,5,-99,1,-99,3.64,-99,105,2002,4,-99,14.24,-99,2.82,-99,1.16,-99,98,-99,4,-99,-99,iteration_231052.892,94.2058268961364,RMSE_100_100
1,EMEP1403BN,1,1,BN,45,35,53,42,63,56,86,72,67,1605,89,2313,40,1090,0.1666,0.15,4.64,5.49,123,3202,60,-99,0.01,4.18,0.545,0.5,74.89,70.4,2,-99,3,-99,0,-99,3.58,-99,74,1409,3,-99,14.33,-99,2.8,-99,1.22,-99,95,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
2,EMEP1403BN,2,1,BN,47,42,55,48,66,62,87,82,71,1997,96,2923,46,1258,0.1545,0.17,4.64,5.52,134,3204,60,-99,0.01,6.26,0.527,0.62,73.97,72.7,3,-99,4,-99,1,-99,3.65,-99,78,1349,3,-99,14.24,-99,2.93,-99,1.19,-99,96,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
3,EMEP1403BN,3,1,BN,49,49,57,55,67,68,86,90,75,2803,106,3069,57,1501,0.132,0.19,4.64,4.52,148,4319,70,-99,0.02,6.34,0.504,0.65,70.57,74.4,3,-99,4,-99,1,-99,3.77,-99,91,1224,4,-99,14.42,-99,2.84,-99,1.18,-99,95,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
4,EMEP1403BN,4,1,BN,49,50,57,54,66,64,85,82,62,4004,90,3178,50,1062,0.1244,0.23,4.64,5.31,134,5302,70,-99,0.01,4.92,0.463,-99,69.19,78.2,2,-99,4,-99,1,-99,3.86,-99,88,2161,3,-99,14.51,-99,2.77,-99,1.21,-99,94,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
5,EMEP1403BN,5,1,BN,44,51,52,54,61,68,81,90,68,3993,90,5140,43,1964,0.1581,0.19,4.64,4.96,121,5002,50,-99,0.01,5.67,0.556,-99,74.95,77.6,2,-99,3,-99,0,-99,3.6,-99,65,2306,3,-99,14.53,-99,3.11,-99,1.25,-99,90,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
6,EMEP1403BN,6,1,BN,46,55,53,67,63,74,82,91,65,4340,91,5358,51,3157,0.1273,0.19,4.64,4.95,132,4261,70,-99,0.01,5,0.491,-99,71.18,74.9,2,-99,4,-99,1,-99,3.78,-99,83,1849,3,-99,14.56,-99,2.81,-99,1.26,-99,91,-99,4,-99,-99,iteration_231053.226,86.2787933681847,RMSE_100_200
